State,NAICS,Meaning,Year,Value_D,"Relative standard error for estimate of sales, value of shipments, or revenue (%)",Payroll_D,Relative standard error for estimate of annual payroll (%),FirstQuarter,Relative standard error for estimate of first-quarter payroll (%),Employees_C,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),HoursAnum_T,Relative standard error for estimate of production workers annual hours (%),WagesAnum_D,Relative standard error for estimate of production workers annual wages (%),MaterialCost_D,Relative standard error for estimate of total cost of materials  (%),ValueAdded_D,Relative standard error for estimate of value added (%),ConstantCapital_D,Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
South Carolina,3149,Other textile product mills,2021,"342,671",4.6,"50,876",11.4,"11,998",10.9,"1,445",11.4,"1,277",10.5,"2,235",11.8,"37,228",10.1,"179,050",3.4,"166,051",6.4,"3,672",3.5,20% to less than 30%,10% to less than 20%,30% to less than 40%
South Carolina,3314,Nonferrous metal (except aluminum) production and processing,2021,"725,485",0.0,"76,966",0.0,"18,920",0.0,"1,090",0.0,841,0.0,"1,670",0.0,"56,048",0.0,D,D,"386,930",0.0,"29,881",0.0,30% to less than 40%,Less than 10%,Less than 10%
South Dakota,313,Textile mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
South Dakota,3132,Fabric mills,2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
South Dakota,3133,Textile and fabric finishing and fabric coating mills,2021,D,D,D,D,D,D,0 to 19 employees,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
South Dakota,314,Textile product mills,2021,"216,725",0.0,"40,013",0.0,"9,285",0.0,829,0.0,601,0.0,"1,168",0.0,"25,394",0.0,"111,376",0.0,D,D,"2,417",0.0,20% to less than 30%,30% to less than 40%,40% to less than 50%
South Dakota,3141,Textile furnishings mills,2021,631,0.0,132,0.0,35,0.0,6,0.0,D,D,7,0.0,D,D,305,0.0,326,0.0,D,D,90% to 100%,Less than 10%,90% to 100%
South Dakota,3149,Other textile product mills,2021,"216,094",0.0,"39,881",0.0,"9,250",0.0,823,0.0,D,D,"1,161",0.0,D,D,"111,071",0.0,D,D,D,D,20% to less than 30%,30% to less than 40%,40% to less than 50%
South Dakota,3314,Nonferrous metal (except aluminum) production and processing,2021,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,0,X,Less than 10%,Less than 10%,Less than 10%
Tennessee,313,Textile mills,2021,"1,140,513",1.6,"173,412",1.0,"41,807",1.1,"2,878",0.4,"2,378",0.9,"5,001",0.3,"124,252",0.3,"684,545",1.4,D,D,"17,340",2.6,40% to less than 50%,10% to less than 20%,40% to less than 50%
