Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Iowa,3391,Medical equipment and supplies manufacturing,2021,"188,520",5.5,"52,873",6.4,"11,783",8.9,"1,069",9.2,678,20.1,"1,023",32.9,"24,768",16.3,"67,040",3.6,"120,977",7.0,"4,014 (s)",41.1,30% to less than 40%,10% to less than 20%,30% to less than 40%
Kansas,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"3,126,186",0.1,"580,327",0.1,"129,515",0.1,"5,759",0.2,"1,248",0.6,"2,507",0.6,"80,124",0.2,"1,584,960",0.1,D,D,D,D,20% to less than 30%,90% to 100%,90% to 100%
Kansas,3391,Medical equipment and supplies manufacturing,2021,"251,951",13.8,"67,020",13.7,"15,316",16.2,"1,259",15.7,924,14.4,"1,902",11.5,"42,000",19.6,D,D,"150,283",8.7,"3,084",24.4,10% to less than 20%,Less than 10%,10% to less than 20%
Kentucky,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"21,481",0.3,"5,061",1.9,359,14.0,176,7.1,353,10.0,"9,376",19.0,D,D,D,D,D,D,D,40% to less than 50%,50% to less than 60%
Kentucky,3391,Medical equipment and supplies manufacturing,2021,"296,558",33.1,"81,607",34.7,"20,359 (s)",49.4,"1,488",34.2,"1,109",35.8,"2,161",37.8,"44,320",39.7,"104,808",28.8,"200,213",36.8,"16,453 (s)",43.3,70% to less than 80%,Less than 10%,30% to less than 40%
Louisiana,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"276,628 (s)",56.3,"44,675",39.0,"14,912 (s)",51.8,661,33.5,439 (s),43.7,853 (s),49.0,"26,272 (s)",41.0,"128,759 (s)",73.1,"149,655 (s)",42.0,"8,223",37.7,10% to less than 20%,60% to less than 70%,30% to less than 40%
Louisiana,3391,Medical equipment and supplies manufacturing,2021,"44,486",22.7,"17,496",24.4,"4,351",25.1,336,31.8,316,22.5,564,22.1,"14,140",21.4,"15,704",4.2,D,D,"8,632 (s)",87.9,30% to less than 40%,Less than 10%,40% to less than 50%
Maine,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"87,360",0.0,"24,635",0.0,"1,145",0.0,743,0.0,"1,690",0.0,"49,210",0.0,"348,231",0.0,D,D,D,D,D,Less than 10%,10% to less than 20%
Maine,3391,Medical equipment and supplies manufacturing,2021,"48,550",0.0,"12,680",0.0,"3,312",0.0,260,0.0,185,0.0,323,0.0,"7,242",0.0,D,D,"30,979",0.0,212,0.0,70% to less than 80%,60% to less than 70%,90% to 100%
Maryland,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"6,314,438",0.4,"1,145,085",0.2,"292,613",0.3,"9,684",0.4,"2,329",0.6,"4,281",0.6,"210,958",0.3,"1,766,397",0.6,"4,587,675",0.3,"104,866",0.0,70% to less than 80%,70% to less than 80%,80% to less than 90%
Maryland,3391,Medical equipment and supplies manufacturing,2021,"1,070,566",0.1,"121,604",0.2,"30,233",0.2,"2,132",0.3,"1,482",0.2,"2,835",0.2,"67,750",0.3,"330,163",0.1,"739,685",0.1,"10,429",0.0,90% to 100%,70% to less than 80%,90% to 100%
Massachusetts,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"12,201,078",1.0,"2,729,101",1.5,"718,664",1.0,"27,219",1.1,"10,306",2.1,"21,220",1.6,"620,055",1.9,"4,539,429",1.3,"7,748,707",1.1,"455,032",2.4,50% to less than 60%,30% to less than 40%,60% to less than 70%
Massachusetts,3391,Medical equipment and supplies manufacturing,2021,"3,231,052",2.6,"639,412",3.9,"152,656",3.7,"8,952",5.4,"5,506",6.2,"10,528",5.8,"304,700",4.4,"1,410,886",2.0,"1,841,003",3.2,"91,625",1.6,20% to less than 30%,40% to less than 50%,60% to less than 70%
Michigan,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,392,521",1.1,"657,967",1.1,"161,974",0.8,"7,972",1.6,"3,020",3.2,"5,863",3.8,"165,605",3.7,"815,215",1.3,"1,581,995",1.3,D,D,40% to less than 50%,30% to less than 40%,40% to less than 50%
Michigan,3391,Medical equipment and supplies manufacturing,2021,"3,401,616",2.0,"540,216",4.1,"136,484",4.6,"7,701",5.1,"4,825",6.5,"10,309",7.0,"215,632",6.6,"1,292,093",1.5,"2,133,085",2.5,"90,261 (s)",50.0,80% to less than 90%,70% to less than 80%,80% to less than 90%
Minnesota,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"7,787,705",0.8,"2,020,955",0.7,"445,116",0.4,"22,770",0.4,"10,802",0.9,"22,782",0.8,"661,399",0.9,"2,687,816",0.5,"5,138,081",1.0,"378,136",0.5,50% to less than 60%,60% to less than 70%,60% to less than 70%
Minnesota,3391,Medical equipment and supplies manufacturing,2021,"5,948,534",1.1,"1,225,075",1.9,"311,232",2.0,"17,964",1.9,"10,801",2.2,"20,279",2.2,"524,807",1.8,"1,953,797",1.0,"4,024,296",1.1,"671,247",0.4,70% to less than 80%,50% to less than 60%,40% to less than 50%
Mississippi,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"540,311",0.0,"56,560",0.0,"14,184",0.0,964,0.0,592,0.0,525,0.0,"16,232",0.0,D,D,D,D,"1,792",0.0,80% to less than 90%,80% to less than 90%,90% to 100%
Mississippi,3391,Medical equipment and supplies manufacturing,2021,"134,960",21.0,"39,449",8.2,"9,623",8.2,750,8.3,558,6.3,"1,059",6.9,"23,598",9.9,"38,085",15.8,"95,285",31.5,"2,359",24.0,30% to less than 40%,Less than 10%,50% to less than 60%
Missouri,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"970,956",1.8,"202,946",2.0,"50,736",2.0,"2,590",2.0,"1,231",2.3,"2,116",3.8,"61,043",3.3,"348,847",1.9,"632,788",2.8,"11,867",2.9,70% to less than 80%,50% to less than 60%,70% to less than 80%
Missouri,3391,Medical equipment and supplies manufacturing,2021,"1,344,519",2.9,"279,515",3.3,"68,459",3.9,"4,634",2.9,"2,902",3.4,"5,586",3.9,"134,920",4.3,"486,834",1.8,"866,976",3.7,"55,782",0.5,60% to less than 70%,30% to less than 40%,50% to less than 60%
Montana,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"69,282",0.0,"11,713",0.0,"2,962",0.0,146,0.0,81,0.0,151,0.0,"3,766",0.0,D,D,"58,390",0.0,"2,268",0.0,Less than 10%,Less than 10%,70% to less than 80%
Montana,3391,Medical equipment and supplies manufacturing,2021,"80,600",21.8,"14,760 (s)",41.6,"4,326",27.8,481,13.1,414,21.7,622,15.0,"10,139",19.4,D,D,D,D,"16,746 (s)",76.2,40% to less than 50%,Less than 10%,40% to less than 50%
Nebraska,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"478,251",0.0,"120,857",0.0,"29,814",0.0,"1,455",0.0,732,0.0,"1,474",0.0,"32,400",0.0,"188,971",0.0,"295,004",0.0,"5,787",0.0,40% to less than 50%,20% to less than 30%,70% to less than 80%
Nebraska,3391,Medical equipment and supplies manufacturing,2021,"2,485,112",0.8,"284,930",1.9,"68,636",1.7,"4,895",2.3,"3,687",3.0,"8,446",2.4,"170,908",2.9,"523,690",2.5,"1,957,437",0.4,"89,494",15.0,80% to less than 90%,60% to less than 70%,60% to less than 70%
Nevada,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,900,910",7.6,"604,023",3.2,"151,048",3.2,"5,790",4.5,"4,523",2.8,"8,754",2.4,D,D,"1,399,969",6.2,"1,533,028",8.7,"51,145",3.0,90% to 100%,90% to 100%,80% to less than 90%
Nevada,3391,Medical equipment and supplies manufacturing,2021,"112,149",11.8,"33,908",5.5,"9,216",27.5,630,16.7,505,18.4,942,11.0,"19,743",3.7,"40,279",19.8,"72,028",9.6,"1,277",0.0,70% to less than 80%,50% to less than 60%,90% to 100%
New Hampshire,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,841,356",1.2,"408,541",1.9,"105,926",2.3,"4,119",2.9,"2,299",2.6,"4,402",2.2,"168,476",1.5,"2,060,743",0.9,"793,683",2.6,"98,681",0.4,80% to less than 90%,20% to less than 30%,40% to less than 50%
New Hampshire,3391,Medical equipment and supplies manufacturing,2021,"775,570",7.0,"268,860",18.0,"68,346",18.1,"3,662",6.8,"2,104",6.0,"3,993",7.0,"80,976",6.5,"256,089",7.9,"518,900",6.7,"7,509",32.8,70% to less than 80%,10% to less than 20%,60% to less than 70%
New Jersey,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"6,236,416",1.9,"1,270,858",2.9,"314,379",2.6,"12,665",3.1,"4,565",4.3,"8,585",6.3,"286,132",3.8,"2,137,724",1.9,"4,153,499",2.0,"76,408",3.6,70% to less than 80%,50% to less than 60%,70% to less than 80%
New Jersey,3391,Medical equipment and supplies manufacturing,2021,"4,009,327",3.2,"577,906",3.1,"141,768",3.5,"6,786",3.3,"4,170",3.6,"8,297",3.2,"216,816",3.1,"1,738,976",2.1,"2,366,494",4.0,"30,746",0.8,70% to less than 80%,50% to less than 60%,60% to less than 70%
