Geographic Area Name,2017 NAICS code,Meaning of NAICS Code,Year,"Sales, value of shipments, or revenue ($1,000)","Relative standard error for estimate of sales, value of shipments, or revenue (%)","Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"First-quarter payroll ($1,000)",Relative standard error for estimate of first-quarter payroll (%),Number of employees,Relative standard error for estimate of number of employees (%),Production workers for pay period including March 12,Relative standard error for estimate of production workers for pay period including March 12 (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials  (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total capital expenditures (new and used) ($1,000)",Relative standard error for estimate of total capital expenditures (new and used)  (%),"Range indicating percent of total sales, value of shipments, or revenue imputed",Range indicating percent of total annual payroll imputed,Range indicating percent of total employees imputed
Texas,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"11,768,645",0.9,"2,494,425",1.0,"617,406",1.1,"28,674",1.1,"10,799",2.3,"21,202",3.0,"648,743",2.4,"4,017,968",1.7,"7,792,994",1.1,"310,035",5.5,60% to less than 70%,60% to less than 70%,70% to less than 80%
Texas,3391,Medical equipment and supplies manufacturing,2021,"3,847,286",1.2,"782,189",1.8,"192,032",2.1,"12,306",2.5,"7,711",2.8,"14,400",2.5,"337,049",2.5,"1,382,734",2.0,"2,489,686",2.3,"66,857",8.2,70% to less than 80%,60% to less than 70%,70% to less than 80%
Utah,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"3,382,785",0.7,"738,827",2.5,"193,116",2.2,"9,378",1.4,"4,295",2.4,"8,094",1.8,"212,782",2.0,"1,977,114",1.4,"1,389,059",1.9,"60,183",4.8,60% to less than 70%,60% to less than 70%,60% to less than 70%
Utah,3391,Medical equipment and supplies manufacturing,2021,"3,687,167",2.1,"732,792",4.0,"156,199",5.1,"10,951",3.3,"7,207",5.2,"13,855",5.4,"355,532",6.5,"1,222,099",1.2,"2,419,708",3.0,"68,974",3.3,40% to less than 50%,40% to less than 50%,40% to less than 50%
Vermont,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"126,033",0.0,"28,911",0.0,"1,462",0.0,D,D,D,D,D,D,D,D,D,D,"7,553",0.0,D,Less than 10%,10% to less than 20%
Vermont,3391,Medical equipment and supplies manufacturing,2021,"78,819",35.6,"27,150",15.1,"6,949",14.3,515,13.2,398,13.3,763,14.0,D,D,D,D,"57,952",36.2,35,0.0,90% to 100%,80% to less than 90%,90% to 100%
Virginia,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"2,617,508",1.1,"617,799",0.6,"153,146",0.9,"6,096",0.8,"2,809",3.1,"5,304",3.6,"195,588",3.2,"992,998",2.0,"1,624,150",0.8,D,D,70% to less than 80%,50% to less than 60%,50% to less than 60%
Virginia,3391,Medical equipment and supplies manufacturing,2021,"430,243",7.2,"137,852",4.1,"30,932",4.8,"2,370",7.3,"1,629",10.5,"3,263",5.6,"72,461",5.7,"147,469",13.5,"297,450",4.3,"17,605",4.2,40% to less than 50%,30% to less than 40%,50% to less than 60%
Washington,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,159,733",11.0,"883,191",11.3,"221,666",13.4,"9,082",17.5,"4,010",13.3,"7,793",14.4,"241,314",10.2,"1,442,986",13.7,"2,751,526",10.0,"61,694",3.4,40% to less than 50%,20% to less than 30%,30% to less than 40%
Washington,3391,Medical equipment and supplies manufacturing,2021,"763,205",2.8,"258,389",1.9,"59,624",3.0,"3,887",2.3,"2,607",3.4,"4,559",5.6,"107,038",4.0,D,D,D,D,"28,877",17.2,40% to less than 50%,20% to less than 30%,50% to less than 60%
West Virginia,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"68,496",0.0,"19,366",0.0,"4,398",0.0,390,0.0,225,0.0,D,D,"7,679",0.0,D,D,"44,921",0.0,D,D,10% to less than 20%,Less than 10%,10% to less than 20%
West Virginia,3391,Medical equipment and supplies manufacturing,2021,"268,049",0.0,"48,847",0.0,"12,212",0.0,797,0.0,618,0.0,"1,208",0.0,"27,290",0.0,D,D,"219,021",0.0,"3,279",0.0,90% to 100%,90% to 100%,90% to 100%
Wisconsin,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,"4,270,366",0.7,"802,027",1.3,"190,754",1.7,"9,551",0.8,"4,540",1.1,"8,399",1.5,"268,886",0.8,"1,463,336",1.2,"2,816,574",0.9,"135,260",14.3,30% to less than 40%,40% to less than 50%,40% to less than 50%
Wisconsin,3391,Medical equipment and supplies manufacturing,2021,"1,247,927",2.9,"317,460",2.9,"75,271",3.4,"5,732",3.9,"3,932",4.8,"7,071",5.7,"155,879",4.9,"393,305",3.5,"858,885",3.0,"54,720",10.6,20% to less than 30%,10% to less than 20%,30% to less than 40%
Wyoming,3345,"Navigational, measuring, electromedical, and control instruments manufacturing",2021,D,D,"18,436",0.0,"4,610",0.0,173,0.0,D,D,122,0.0,D,D,D,D,D,D,D,D,D,Less than 10%,90% to 100%
Wyoming,3391,Medical equipment and supplies manufacturing,2021,D,D,D,D,795,0.0,50,0.0,22,0.0,D,D,D,D,D,D,D,D,119,0.0,D,D,90% to 100%
